Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Virginia,4A5C-C2EE-79E2,0.139,gibibyte,0.01,-0.01,0.00,0.00,0.004112,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to EMEA,D799-2DAD-49C7,0.119,gibibyte,0.01,-0.00,0.00,0.00,0.003519,0.00,0%
BigQuery,24E6-581D-38E5,Streaming Insert,934C-4547-E59A,67.162,mebibyte,0.00,-0.00,0.00,0.00,0.002836,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from APAC to South America,B9DE-B1EE-C89A,0.021,gibibyte,0.00,-0.00,0.00,0.00,0.002817,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,APAC-based Storage Data Transfer Out via peered/interconnect network,30DD-9D90-52CE,0.03,gibibyte,0.00,-0.00,0.00,0.00,0.001530,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Las Vegas,4672-5503-C3AB,0.025,gibibyte,0.00,-0.00,0.00,0.00,0.001524,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions Memory Allocation Time in asia-east1,F7FB-D52D-9477,"22,573.009",gibibyte second,0.06,-0.01,-0.05,0.00,0.001335,0.00,-100%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Los Angeles,00EA-CCDD-9909,0.014,gibibyte,0.00,-0.00,0.00,0.00,0.000842,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Frankfurt,8090-92CC-A552,0.013,gibibyte,0.00,-0.00,0.00,0.00,0.000773,0.00,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from APAC to China,6888-19AF-73E7,0.005,gibibyte,0.00,-0.00,0.00,0.00,0.000618,0.00,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from APAC to Americas,2F6B-7719-5E0E,0.005,gibibyte,0.00,-0.00,0.00,0.00,0.000573,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from APAC to Africa,7754-7A78-680E,0.005,gibibyte,0.00,-0.00,0.00,0.00,0.000566,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Inter Region within Asia,A115-9CB2-F553,0.059,gibibyte,0.00,-0.00,0.00,0.00,0.000440,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,Autoclass Nearline Storage Taiwan,C498-BD2C-13AE,0.028,gibibyte month,0.00,-0.00,0.00,0.00,0.000227,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Hong Kong,5B22-BB26-0A43,0.003,gibibyte,0.00,-0.00,0.00,0.00,0.000137,0.00,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from APAC to EMEA,0C22-821A-D6B7,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000093,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,Nearline Storage Asia Multi-region,DEEA-BC30-584C,0.011,gibibyte month,0.00,-0.00,0.00,0.00,0.000085,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to London,AC6F-9614-3637,0.002,gibibyte,0.00,0.00,0.00,0.00,0.000064,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from APAC to Middle East,FFFF-B27D-95FA,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000047,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,Regional Nearline Class A Operations,9559-D2EC-1D33,5,count,0.00,-0.00,0.00,0.00,0.000042,0.00,0%
