Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Americas to Singapore,460A-D7CD-94BB,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Americas to Montreal,8397-A829-9D2A,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Americas to Americas,8524-4DD5-9D67,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Cloud SQL,9662-B51E-5089,Network Data Transfer to Google Services from Americas to Americas,85F4-8AFC-FF68,1.403,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Americas to London,A064-C398-CA09,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Americas to Netherlands,AF45-A6F3-0087,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Americas to Mumbai,BEF3-92E7-6ADB,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Cloud SQL,9662-B51E-5089,Network Inter Zone Data Transfer Out in Americas,D32E-3B98-00B6,342.341,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Americas to APAC,DBB6-7020-F72D,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - Extended support vCPU v10 in Iowa,F0BC-FB20-8A3E,"1,242",hour,173.88,-24.34,-149.54,0.00,0.000000,0.00,0%
Cloud Pub/Sub,A1E8-BE35-7EBC,Intra-region data delivery,460A-7826-0471,"5,632.387",gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Source Repository,CAE2-A537-4A95,Storage,978B-7150-4C95,0,gibibyte month,0.00,0.00,0.00,0.00,0.000000,0.00,0%
BigQuery Storage API,DCC9-8DB9-673F,BigQuery Storage API - Read Anonymous Bytes Scanned,242C-E02F-1FC9,0.843,tebibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
BigQuery Storage API,DCC9-8DB9-673F,BigQuery Storage API - Write (us),AEED-2ED7-B5D3,0.112,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Networking Cloud Nat Data Processing,015F-5732-FFF0,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Network Private Service Connect Google Managed Service GKE Consumer Data Processing Primary,11AD-2790-7C4B,544.657,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Iowa (us-central1),1481-64C8-6805,11.24,gibibyte,0.09,-0.09,0.00,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Networking Service Directory Integrated Resource,50F4-D7E5-3682,22,month,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Networking Private Service Connect Partner Select End Point,6882-BFB0-B7E5,"6,046.828",hour,60.47,-8.47,-52.00,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Network Intelligence Center Network Analyzer Resource Hours,9BF8-CD36-F9B8,"48,155",count,52.97,-7.42,-45.55,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Regional External Passthrough Network Load Balancer Outbound Data Processing for Iowa (us-central1),BB2A-D2B6-E858,415.751,gibibyte,3.32,-3.32,0.00,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Network Intelligence Center Internet to Google Cloud Performance Resource Hours,BDBA-22FA-3925,"48,156",count,38.52,-5.39,-33.13,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Network Intelligence Center Connectivity Tests Runs,C985-127E-325E,1,count,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Network Intelligence Center Topology and Google Cloud Performance Resource Hours,D9AD-28F8-05D8,"48,156",count,52.97,-7.42,-45.56,0.00,0.000000,0.00,0%
Dataplex,51C6-B3F5-9B38,Dataplex Metadata Storage Iowa,5D0E-3A17-3010,0,gibibyte month,-0.00,0.00,0.00,0.00,-0.000001,-0.00,0%
,,,,,,,,,Subtotal,56924.761395,56924.76
,,,,,,,,,Invoice total,56924.761395,56924.76
