Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Cloud Logging,5490-F7B7-8DF6,Vended Logs Storage,376D-A4B0-82E4,0.077,gibibyte,0.02,-0.00,0.00,0.00,0.014637,0.01,-50%
Cloud Storage,95FF-2EF5-5EA1,Archive Storage US Multi-region,1EA2-2E06-552E,7.052,gibibyte month,0.02,-0.00,0.00,0.00,0.014482,0.01,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from APAC to EMEA,F91A-E0CA-2AED,0.13,gibibyte,0.02,-0.00,0.00,0.00,0.011285,0.01,0%
Networking,E505-1604-58F8,Networking Cloud Armor Requests,1A87-DEB9-C4BE,"22,803",count,0.01,-0.00,0.00,0.00,0.010454,0.01,0%
Compute Engine,6F81-5844-456A,N2D AMD Instance Ram running in Americas,5535-6D2D-4B50,"21,502.486",gibibyte hour,79.26,-19.81,-59.43,0.00,0.009821,0.01,-92%
Compute Engine,6F81-5844-456A,N2D AMD Instance Core running in Americas,A03E-E620-7389,"2,687.808",hour,73.92,-18.48,-55.43,0.00,0.009081,0.01,-92%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from APAC to Americas,16CF-89EF-CC17,0.094,gibibyte,0.01,-0.00,0.00,0.00,0.008069,0.01,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Australia,FDBC-6E3B-D4D8,0.057,gibibyte,0.01,-0.00,0.00,0.00,0.006862,0.01,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to Americas,238B-D94B-7243,0.045,gibibyte,0.01,-0.00,0.00,0.00,0.006266,0.01,0%
Compute Engine,6F81-5844-456A,Network Data Transfer Out via Carrier Peering Network - APAC Based,9428-46F3-3796,0.11,gibibyte,0.01,-0.00,0.00,0.00,0.005412,0.01,0%
Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class B Operations,8AE7-5BBD-8F38,"15,046",count,0.01,-0.00,0.00,0.00,0.005166,0.01,New
Cloud Pub/Sub,A1E8-BE35-7EBC,Inter-region data delivery from Asia Pacific to North America,0791-AE17-A66B,0.103,gibibyte,0.01,-0.00,0.00,0.00,0.004704,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from APAC to South America,B9DE-B1EE-C89A,0.025,gibibyte,0.00,-0.00,0.00,0.00,0.003447,0.00,0%
Vertex AI,C7E2-9256-1C43,Embeddings for multimodal - Text (input),F5F1-90ED-3B1E,"11,958",count,0.00,-0.00,0.00,0.00,0.001940,0.00,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to APAC,094A-C58C-9FD6,0.011,gibibyte,0.00,-0.00,0.00,0.00,0.001465,0.00,0%
Vertex AI,C7E2-9256-1C43,Gemini 2.0 Flash Text Input - Predictions,1127-99B9-1860,"10,359",count,0.00,-0.00,0.00,0.00,0.001333,0.00,0%
Vertex AI,C7E2-9256-1C43,Gemini 2.0 Flash Text Output - Predictions,DFB0-8442-43A8,"2,589",count,0.00,-0.00,0.00,0.00,0.001333,0.00,0%
Cloud Pub/Sub,A1E8-BE35-7EBC,Topics message backlog,F9EB-D3E1-ABDF,0.014,gibibyte month,0.00,-0.00,0.00,0.00,0.001094,0.00,0%
