Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Compute Engine,6F81-5844-456A,Spot Preemptible N1 Predefined Instance Ram running in APAC,75FE-5894-4D64,"168,758.111",gibibyte hour,158.80,0.00,0.00,0.00,158.798613,158.80,-5%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - 4 vCPU + 15GB RAM in APAC,B07A-3032-D407,672,hour,181.57,-25.42,0.00,0.00,156.153984,156.15,-10%
Networking,E505-1604-58F8,Networking Cloud Armor Policy,4B13-E64F-4A2B,35.993,month,179.88,-25.19,0.00,0.00,154.698499,154.70,0%
Compute Engine,6F81-5844-456A,E2 Instance Core running in Americas,CF4E-A0C7-E3BF,"17,470.261",hour,381.05,-95.26,-131.62,0.00,154.164577,154.16,-9%
Notebooks,D73B-5EEA-8215,Workbench Instances Storage for GCE usage - Balanced Persistent Disk in asia-east1,1EE6-D639-4B92,"1,491.339",gibibyte month,178.89,-25.04,0.00,0.00,153.842320,153.84,36%
Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class B Operations,7870-010B-2763,"439,917,016",count,175.95,-24.63,0.00,0.00,151.313573,151.31,-12%
Compute Engine,6F81-5844-456A,N2 Instance Core running in Japan,E137-7DDF-1143,"4,865.877",hour,197.64,-49.41,0.00,0.00,148.231327,148.23,12%
Compute Engine,6F81-5844-456A,N2 Instance Core running in Hong Kong,68CB-4CDF-D6C2,"4,465.169",hour,197.50,-49.37,0.00,0.00,148.123839,148.12,3%
Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Hong Kong,3916-2122-654D,"4,457.354",hour,197.15,-49.29,0.00,0.00,147.862979,147.86,-10%
Cloud Storage,95FF-2EF5-5EA1,APAC-based Storage Data Transfer Out via peered/interconnect network,30DD-9D90-52CE,"2,835.046",gibibyte,170.10,-23.81,0.00,0.00,146.288302,146.29,-31%
